Machine Module,SSA3021X Plus,3.2.2.6.2R10
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+8.000000000E+00
Attenuation,28.000000,Auto
Sweep Time,351107.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+1.000000000E+06
Average Type,Log Pwr
RBW,300.000000,Manual
VBW,300.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
449333,-55.76
450667,-51.22
452000,-55.49
453333,-53.70
454667,-51.43
456000,-56.68
457333,-56.84
458667,-51.10
460000,-53.85
461333,-54.88
462667,-52.85
464000,-50.34
465333,-54.88
466667,-57.73
468000,-52.51
469333,-54.74
470667,-56.10
472000,-54.95
473333,-59.46
474667,-57.16
476000,-53.80
477333,-52.85
478667,-52.66
480000,-52.65
481333,-57.22
482667,-55.39
484000,-54.90
485333,-52.09
486667,-56.78
488000,-55.16
489333,-54.19
490667,-56.32
492000,-54.49
493333,-51.22
494667,-53.37
496000,-55.99
497333,-52.51
498667,-55.48
500000,-52.14
501333,-53.38
502667,-53.50
504000,-51.02
505333,-53.73
506667,-55.37
508000,-58.42
509333,-53.79
510667,-51.98
512000,-59.85
513333,-55.95
514667,-56.50
516000,-53.64
517333,-58.06
518667,-57.95
520000,-61.52
521333,-56.39
522667,-56.80
524000,-52.50
525333,-55.31
526667,-50.47
528000,-52.00
529333,-53.81
530667,-54.35
532000,-56.97
533333,-52.94
534667,-55.90
536000,-54.67
537333,-55.89
538667,-56.21
540000,-53.09
541333,-52.39
542667,-53.62
544000,-54.68
545333,-54.30
546667,-54.08
548000,-50.68
549333,-54.89
550667,-58.35
552000,-50.77
553333,-55.12
554667,-51.80
556000,-56.65
557333,-55.07
558667,-52.56
560000,-56.44
561333,-61.59
562667,-56.05
564000,-53.78
565333,-53.12
566667,-54.06
568000,-54.72
569333,-56.45
570667,-57.52
572000,-52.74
573333,-54.24
574667,-57.94
576000,-56.86
577333,-58.11
578667,-60.23
580000,-57.15
581333,-55.95
582667,-55.72
584000,-54.43
585333,-54.98
586667,-52.42
588000,-58.03
589333,-53.50
590667,-55.67
592000,-55.93
593333,-54.33
594667,-55.75
596000,-55.08
597333,-55.44
598667,-54.64
600000,-56.52
601333,-55.47
602667,-58.93
604000,-57.56
605333,-55.91
606667,-54.20
608000,-56.03
609333,-55.59
610667,-61.02
612000,-54.30
613333,-57.20
614667,-61.29
616000,-57.77
617333,-53.27
618667,-58.48
620000,-56.94
621333,-55.21
622667,-55.99
624000,-58.90
625333,-52.73
626667,-53.10
628000,-57.76
629333,-58.98
630667,-58.50
632000,-56.11
633333,-53.59
634667,-53.32
636000,-53.86
637333,-52.73
638667,-60.47
640000,-53.68
641333,-54.82
642667,-57.42
644000,-59.01
645333,-55.00
646667,-57.72
648000,-60.40
649333,-59.36
650667,-60.52
652000,-52.38
653333,-56.28
654667,-54.99
656000,-55.30
657333,-57.80
658667,-53.84
660000,-56.40
661333,-54.52
662667,-58.45
664000,-59.56
665333,-56.21
666667,-53.77
668000,-56.01
669333,-54.60
670667,-57.91
672000,-57.44
673333,-55.95
674667,-57.51
676000,-57.88
677333,-53.73
678667,-59.51
680000,-59.15
681333,-58.19
682667,-58.23
684000,-56.28
685333,-59.60
686667,-55.19
688000,-57.83
689333,-57.28
690667,-56.20
692000,-57.67
693333,-65.85
694667,-55.86
696000,-55.64
697333,-57.59
698667,-59.28
700000,-57.82
701333,-55.38
702667,-54.85
704000,-57.05
705333,-53.94
706667,-60.60
708000,-53.08
709333,-55.60
710667,-57.53
712000,-55.22
713333,-56.72
714667,-55.39
716000,-53.93
717333,-60.55
718667,-56.33
720000,-58.76
721333,-59.06
722667,-58.60
724000,-53.33
725333,-55.25
726667,-61.79
728000,-55.52
729333,-53.71
730667,-54.99
732000,-61.83
733333,-60.60
734667,-58.94
736000,-55.92
737333,-59.70
738667,-58.23
740000,-60.09
741333,-57.56
742667,-56.29
744000,-57.38
745333,-55.62
746667,-55.84
748000,-59.71
749333,-54.32
750667,-57.20
752000,-55.60
753333,-57.36
754667,-55.05
756000,-62.96
757333,-57.85
758667,-56.59
760000,-58.08
761333,-60.49
762667,-61.04
764000,-60.32
765333,-58.40
766667,-58.80
768000,-54.41
769333,-57.52
770667,-58.95
772000,-58.20
773333,-56.08
774667,-56.07
776000,-58.90
777333,-64.36
778667,-59.48
780000,-58.57
781333,-60.90
782667,-56.41
784000,-58.63
785333,-56.08
786667,-55.60
788000,-56.60
789333,-62.95
790667,-64.92
792000,-65.21
793333,-56.81
794667,-64.49
796000,-57.61
797333,-58.62
798667,-62.85
800000,-59.03
801333,-57.87
802667,-56.43
804000,-60.08
805333,-56.88
806667,-57.80
808000,-57.50
809333,-56.33
810667,-60.70
812000,-62.02
813333,-58.84
814667,-59.26
816000,-60.13
817333,-58.72
818667,-58.34
820000,-58.37
821333,-54.93
822667,-56.90
824000,-58.82
825333,-62.12
826667,-56.44
828000,-58.01
829333,-56.85
830667,-66.21
832000,-66.66
833333,-62.60
834667,-57.83
836000,-55.77
837333,-61.05
838667,-59.51
